,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
311,Cayenne,75,GF,1548730800,94,4.94,-52.33,77.0,4.7
312,Kungurtug,24,RU,1548732211,60,50.6,97.53,-17.2,8.63
313,Fortuna,0,ES,1548729000,50,38.18,-1.13,55.4,20.8
314,Bendigo,0,AU,1548732216,91,-36.76,144.28,82.62,4.72
315,Manzhouli,24,CN,1548732218,46,49.6,117.43,8.73,13.0
316,Rio Verde de Mato Grosso,32,BR,1548732220,90,-18.92,-54.84,69.16,2.48
317,Buchanan,40,LR,1548727200,94,5.88,-10.05,75.2,6.73
318,Cairns,40,AU,1548730980,83,-16.92,145.77,82.4,8.05
319,Mandiana,0,GN,1548732226,52,10.62,-8.7,58.86,4.61
320,Sosnovo-Ozerskoye,0,RU,1548732229,57,52.53,111.54,-8.33,11.54
321,Khorramshahr,20,IR,1548730800,87,30.43,48.18,55.4,9.17
322,Bonthe,0,SL,1548732233,91,7.53,-12.5,77.31,5.17
323,Marsa Matruh,40,EG,1548730800,75,31.35,27.25,46.4,9.17
324,Newport,75,GB,1548730200,93,51.59,-3.0,41.0,6.93
325,Bathsheba,20,BB,1548730800,73,13.22,-59.52,75.2,13.87
326,Norilsk,0,RU,1548731987,0,69.35,88.2,-44.38,2.82
327,Rio Tinto,20,BR,1548730800,100,-6.8,-35.08,75.2,5.82
328,Bambous Virieux,40,MU,1548730800,94,-20.34,57.76,77.0,4.27
329,Marfino,75,RU,1548730800,92,56.07,37.56,23.0,6.71
330,Daru,0,SL,1548732251,68,7.99,-10.85,70.42,6.29
331,Espanola,92,CA,1548732021,54,46.27,-81.77,-5.36,11.88
332,Constitucion,75,MX,1548730200,15,23.99,-104.67,57.2,6.93
333,Winnemucca,1,US,1548730560,59,40.97,-117.74,41.0,11.41
334,Havoysund,20,NO,1548730200,72,71.0,24.66,15.8,35.57
335,Loikaw,36,MM,1548732261,93,19.67,97.21,66.24,2.15
336,Hay River,40,CA,1548730800,75,60.82,-115.79,-20.21,3.36
337,Santa Vitoria do Palmar,44,BR,1548732266,93,-33.52,-53.37,75.69,7.63
338,Cuamba,8,MZ,1548732268,97,-14.8,36.54,63.72,4.94
339,Boueni,0,YT,1548730800,88,-12.9,45.08,78.8,3.36
340,Takahagi,75,JP,1548730800,69,36.74,140.69,48.2,20.8
341,Santa Quiteria,0,ES,1548732274,73,37.67,-1.69,41.04,5.17
342,Jardim,20,BR,1548732277,66,-21.48,-56.15,78.07,9.64
343,Macas,44,EC,1548732279,89,-2.3,-78.12,64.89,3.38
344,Port Hawkesbury,75,CA,1548731760,72,45.62,-61.36,15.8,9.17
345,Olinda,90,EC,1548730800,100,-2.03,-79.75,75.2,3.36
346,Reconquista,0,AR,1548732285,74,-29.14,-59.64,82.71,13.11
347,Filingue,0,NE,1548732287,38,14.35,3.32,58.72,7.07
348,Tilichiki,92,RU,1548732290,81,60.47,166.1,23.89,12.44
349,Itapaci,80,BR,1548732140,89,-14.95,-49.55,69.66,2.59
350,Gilgit,20,PK,1548732294,76,35.92,74.31,-3.29,0.36
351,Mfou,40,CM,1548727200,100,3.72,11.64,71.6,2.48
352,Labuhan,48,ID,1548732298,83,-2.54,115.51,82.57,3.15
353,Inhambane,56,MZ,1548732301,94,-23.87,35.38,74.34,9.53
354,Padang,20,ID,1548730800,74,-0.92,100.36,84.2,2.24
355,Semnan,12,IR,1548732305,74,35.58,53.39,39.69,2.93
356,Husavik,8,CA,1548732307,69,50.56,-96.99,-15.85,12.21
357,Fort Nelson,90,CA,1548730200,92,58.81,-122.69,12.2,4.7
358,Vega de Alatorre,0,MX,1548732311,88,20.03,-96.65,61.51,7.18
359,Cabrero,0,CL,1548730800,77,-37.04,-72.4,75.2,8.05
360,Tapalpa,8,MX,1548732316,72,19.94,-103.76,49.81,1.92
361,Natal,20,BR,1548730800,88,-5.81,-35.21,77.0,6.93
362,Ola,0,RU,1548732320,100,59.58,151.3,-3.29,5.61
363,Tangwani,0,PK,1548732322,89,28.28,69.0,49.36,2.59
364,Weinan,0,CN,1548730800,42,34.5,109.46,46.4,2.24
365,Lavrentiya,0,RU,1548732327,65,65.58,-170.99,3.6,11.65
366,Buala,92,SB,1548732329,89,-8.15,159.59,84.06,11.43
367,Kjollefjord,12,NO,1548732331,100,70.95,27.35,-2.98,7.63
368,Turukhansk,0,RU,1548732334,0,65.8,87.96,-40.28,3.6
369,Garowe,44,SO,1548732336,90,8.41,48.48,61.2,6.4
